n	part.num	weight	lambda	dist.1	dist.2	dist.3	dist.4	dist.5
1	78	0.0112359551	1.79473	0.16877	0.16157	0.1708	0.15858	0.15633
1	79	0.0112359551	2.15929	0.16664	0.17319	0.16916	0.16718	0.16995
1	80	0.0112359551	0.64644	0.149	0.14448	0.14988	0.1516	0.13892
1	81	0.0112359551	0.89815	0.14823	0.14927	0.15408	0.15551	0.15357
1	82	0.0112359551	0.69017	0.14307	0.14668	0.14577	0.1425	0.14826
1	83	0.0112359551	0.38452	0.12735	0.12596	0.12538	0.12734	0.13271
1	84	0.0112359551	1.14216	0.15638	0.15117	0.15494	0.15833	0.16226
1	85	0.008988764	2.11679	0.17459	0.1625	0.16514	0.16533	0.16714
1	86	0.0112359551	1.34041	0.16246	0.15758	0.16478	0.1607	0.16157
1	87	0.0112359551	0.57116	0.14337	0.14117	0.13474	0.13728	0.13783
1	88	0.006741573	3.90274	0.17564	0.1714	0.16682	0.16675	0.17011
1	89	0.0112359551	0.37628	0.12946	0.13078	0.13507	0.1282	0.12296
1	90	0.0112359551	1.48338	0.16459	0.15803	0.15774	0.16894	0.16449
1	91	0.0112359551	0.07035	0.13755	0.1345	0.14216	0.14624	0.13788
1	92	0.0112359551	1.56106	0.15993	0.16334	0.16671	0.15604	0.16388
1	93	0.0112359551	0.53007	0.1375	0.13628	0.14663	0.14055	0.14212
1	94	0.0112359551	3.35623	0.17173	0.17139	0.17388	0.16607	0.16883
1	95	0.006741573	3.48873	0.1725	0.16963	0.17387	0.17616	0.17256
1	96	0.004494382	5.40408	0.17242	0.17166	0.1688	0.17182	0.17139
1	97	0.0112359551	0.44516	0.13285	0.13563	0.13277	0.13986	0.13522
1	98	0.006741573	2.44617	0.17878	0.16574	0.17073	0.16703	0.16251
1	99	0.0112359551	1.85336	0.16253	0.16502	0.16118	0.16409	0.16775
1	100	0.0112359551	1.74777	0.16477	0.16482	0.16011	0.16175	0.17192
2	1	0.0074208443	1.42496	0.17646	0.1621	0.16908	0.15581	0.15842
2	2	0.0123680739	0.46691	0.13952	0.1378	0.15265	0.13092	0.14226
2	3	0.0123680739	0.86567	0.14534	0.14602	0.15015	0.15819	0.16216
2	4	0.0123680739	1.77855	0.1586	0.16404	0.16447	0.17064	0.15993
2	5	0.0074208443	2.23659	0.1681	0.16128	0.16116	0.16591	0.17406
2	6	0.003298153	4.44741	0.17191	0.1722	0.16966	0.16975	0.16899
2	7	0.0123680739	1.57269	0.16086	0.15721	0.17016	0.16302	0.16514
2	8	0.0082453826	3.04092	0.17547	0.17212	0.16782	0.17082	0.16937
2	9	0.0082453826	3.07324	0.1666	0.17517	0.17626	0.17059	0.17146
2	10	0.0123680739	0.97808	0.15336	0.15029	0.15324	0.15417	0.15629
2	11	0.0079155673	2.6964	0.1692	0.16838	0.17401	0.16856	0.16249
2	12	0.0123680739	1.71143	0.16377	0.16014	0.16243	0.16671	0.16125
2	13	0.0123680739	0.15459	0.11595	0.1146	0.1105	0.10043	0.11965
2	14	0.0123680739	1.13468	0.15798	0.16242	0.15542	0.16801	0.1591
2	15	0.0049472296	5.31487	0.17143	0.16902	0.17101	0.16916	0.17147
2	16	0.0123680739	2.01192	0.16353	0.16335	0.16359	0.15867	0.16685
2	17	0.0074208443	2.66362	0.16923	0.1753	0.17074	0.17333	0.17469
2	18	0.0123680739	1.91686	0.17568	0.17304	0.16817	0.17247	0.16082
2	19	0.0029683377	3.55247	0.17967	0.17339	0.16446	0.17184	0.1713
2	20	0.0123680739	2.11475	0.16465	0.16434	0.16588	0.1685	0.16334
2	21	0.0037104222	5.99925	0.17173	0.17013	0.17469	0.16957	0.17535
2	22	0.0012368074	7.73036	0.1742	0.17714	0.17545	0.1688	0.1821
2	23	0.0123680739	0.41138	0.12662	0.13023	0.13122	0.1341	0.13035
2	24	0.0074208443	3.03698	0.17421	0.18292	0.16663	0.16837	0.16586
2	25	0.0123680739	0.40027	0.13511	0.12661	0.1312	0.12923	0.12966
2	26	0.0123680739	0.64197	0.14333	0.13868	0.13835	0.14505	0.14117
2	27	0.0123680739	0.76773	0.15038	0.15488	0.14753	0.14585	0.14956
2	28	0.0079155673	2.63082	0.16927	0.16453	0.16248	0.16739	0.17976
2	29	0.0098944591	1.68118	0.16313	0.1672	0.16739	0.16454	0.16258
2	30	0.0123680739	1.18977	0.15689	0.15695	0.15627	0.16239	0.16562
2	31	0.0123680739	1.20502	0.1562	0.15827	0.16946	0.15363	0.1606
2	32	0.0098944591	2.91152	0.1677	0.1738	0.16352	0.17195	0.17035
2	33	0.0041226913	4.99927	0.1746	0.17426	0.16982	0.17319	0.16999
2	34	0.0024736148	4.27165	0.17087	0.16924	0.17027	0.17479	0.17607
2	35	0.0074208443	2.39513	0.16759	0.16672	0.16302	0.16625	0.17042
2	36	0.0123680739	0.89731	0.14998	0.15839	0.15515	0.15422	0.15461
2	37	0.0123680739	1.53064	0.15717	0.16464	0.16542	0.16195	0.15963
2	38	0.0123680739	1.79887	0.16286	0.16431	0.16758	0.16496	0.16164
2	39	0.0123680739	1.78787	0.16791	0.16636	0.16111	0.16104	0.15906
2	40	0.0123680739	1.17415	0.16121	0.16432	0.15396	0.16222	0.15266
2	41	0.0098944591	1.87214	0.16423	0.16369	0.16232	0.16757	0.16255
2	42	0.0123680739	1.24213	0.15692	0.16559	0.15611	0.15822	0.16028
2	43	0.0037104222	3.86011	0.17058	0.16949	0.17342	0.17601	0.16935
2	44	0.0123680739	1.8008	0.16378	0.16509	0.17131	0.16408	0.16457
2	45	0.0123680739	1.39459	0.15886	0.16058	0.16913	0.15813	0.15775
2	46	0.0098944591	2.0346	0.16262	0.1684	0.16731	0.17004	0.16208
2	47	0.0123680739	0.4449	0.13218	0.13669	0.13687	0.13269	0.13974
2	48	0.0123680739	1.57837	0.16422	0.16661	0.15798	0.1692	0.16301
2	49	0.0123680739	1.34158	0.16213	0.16008	0.1634	0.16456	0.16065
2	50	0.0123680739	0.12315	0.12486	0.12743	0.11064	0.11162	0.10962
2	51	0.0059366755	2.6222	0.17007	0.16897	0.16127	0.16411	0.16317
2	52	0.0059366755	2.6909	0.17249	0.16634	0.16466	0.16715	0.17137
2	53	0.0055656332	3.50903	0.16924	0.16688	0.16732	0.18721	0.17341
2	54	0.0123680739	0.83143	0.1535	0.1587	0.14826	0.15085	0.1442
2	55	0.0123680739	2.06312	0.16314	0.16529	0.1645	0.16155	0.16635
2	56	0.0074208443	3.15178	0.16684	0.17801	0.17702	0.17016	0.17137
2	57	0.0123680739	4.3071	0.16751	0.1674	0.17419	0.16703	0.16532
2	58	0.0079155673	2.91559	0.17057	0.1663	0.16629	0.16603	0.1688
2	59	0.0079155673	2.30536	0.168	0.17562	0.16871	0.17709	0.16336
2	60	0.0123680739	1.52443	0.16311	0.15651	0.16627	0.15481	0.16323
2	61	0.0123680739	0.64022	0.14323	0.14468	0.14443	0.14853	0.14119
2	62	0.0049472296	5.82067	0.17069	0.17237	0.16923	0.17365	0.17474
2	63	0.0074208443	2.36199	0.17392	0.172	0.16445	0.16819	0.17554
2	64	0.0123680739	1.04961	0.15878	0.15089	0.15632	0.15623	0.15175
2	65	0.0123680739	0.86559	0.15051	0.15148	0.14969	0.14931	0.14721
2	66	0.0098944591	3.46671	0.17239	0.17079	0.17201	0.16909	0.16594
2	67	0.0079155673	4.44282	0.16702	0.17048	0.1683	0.18309	0.17683
2	68	0.0123680739	0.42716	0.13192	0.13904	0.13923	0.12744	0.13749
2	69	0.0024736148	4.97369	0.17209	0.17322	0.17045	0.16883	0.17157
2	70	0.0123680739	0.62507	0.14696	0.14966	0.13951	0.14907	0.15175
2	71	0.0123680739	2.0837	0.16028	0.17139	0.17154	0.16679	0.16985
2	72	0.0098944591	3.17478	0.16997	0.16768	0.17062	0.17224	0.16858
2	73	0.0123680739	0.89383	0.16813	0.163	0.14771	0.14887	0.16154
2	74	0.0123680739	1.05224	0.1578	0.15313	0.15352	0.15099	0.15745
2	75	0.0012368074	8.5494	0.17871	0.17364	0.17525	0.17845	0.17121
2	76	0.0123680739	1.04071	0.15917	0.15782	0.15185	0.14987	0.16179
2	77	0.0123680739	1.60089	0.16566	0.16498	0.15908	0.15977	0.15909
2	78	0.0123680739	1.86974	0.16787	0.16434	0.16693	0.16682	0.16664
2	79	0.0098944591	2.15929	0.16664	0.17319	0.16916	0.16718	0.16995
2	80	0.0123680739	0.69096	0.15339	0.15103	0.15593	0.14451	0.15223
2	81	0.0123680739	0.88216	0.15263	0.16189	0.14886	0.14846	0.15604
2	82	0.0123680739	0.82468	0.15269	0.14884	0.14766	0.14983	0.15505
2	83	0.0123680739	0.44841	0.12972	0.13118	0.137	0.13342	0.13927
2	84	0.0123680739	1.00427	0.1585	0.15127	0.15638	0.16146	0.15971
2	85	0.0098944591	2.22485	0.17007	0.17245	0.16576	0.17214	0.16936
2	86	0.0123680739	1.35663	0.1644	0.15799	0.16767	0.16366	0.15491
2	87	0.0123680739	0.57506	0.14658	0.15209	0.1519	0.14404	0.15422
2	88	0.0074208443	3.90274	0.17564	0.1714	0.16682	0.16675	0.17011
2	89	0.0123680739	0.45847	0.13186	0.13538	0.13278	0.13428	0.14077
2	90	0.0123680739	1.28996	0.15968	0.15823	0.15579	0.16545	0.15183
2	91	0.0123680739	0.11025	0.11689	0.12656	0.12176	0.11462	0.11499
2	92	0.0123680739	1.44751	0.15723	0.15789	0.16183	0.16747	0.16566
2	93	0.0123680739	0.5386	0.14282	0.13751	0.13976	0.13754	0.1405
2	94	0.0098944591	3.49365	0.16852	0.17577	0.17052	0.17535	0.1767
2	95	0.0018552111	3.55174	0.17788	0.17114	0.17261	0.1687	0.1721
2	96	0.0039577836	5.45035	0.18097	0.1768	0.17445	0.16956	0.17153
2	97	0.0123680739	0.47701	0.1337	0.13578	0.13666	0.1453	0.13501
2	98	0.0074208443	2.41876	0.17062	0.16785	0.17639	0.16452	0.17611
2	99	0.0123680739	1.85911	0.16379	0.16428	0.16829	0.16586	0.16872
2	100	0.0123680739	1.74497	0.17071	0.16463	0.17146	0.16155	0.16563
3	1	0.0078857098	1.35174	0.1613	0.16348	0.1556	0.1593	0.15796
3	2	0.0131428496	0.60648	0.14337	0.1525	0.1474	0.14244	0.14502
3	3	0.0131428496	0.82076	0.14518	0.15357	0.1538	0.15478	0.15728
3	4	0.0105142797	1.92095	0.16579	0.16594	0.17754	0.15921	0.17019
3	5	0.0078857098	2.17097	0.16957	0.17559	0.16524	0.16775	0.16758
3	6	0.0026285699	4.44741	0.17191	0.1722	0.16966	0.16975	0.16899
3	7	0.0131428496	1.52727	0.16426	0.16353	0.16752	0.15772	0.16666
3	8	0.0058412665	2.96952	0.16853	0.17217	0.17459	0.16859	0.16349
3	9	0.0029206333	3.08218	0.1718	0.16672	0.17343	0.16548	0.16584
3	10	0.0131428496	1.14757	0.15511	0.15461	0.16027	0.1646	0.15739
3	11	0.0084114238	2.6964	0.1692	0.16838	0.17401	0.16856	0.16249
3	12	0.0131428496	1.71143	0.16377	0.16014	0.16243	0.16671	0.16125
3	13	0.0131428496	0.33213	0.12358	0.12109	0.1213	0.1304	0.12243
3	14	0.0131428496	1.19751	0.16296	0.15874	0.16009	0.16747	0.15425
3	15	0.0021028559	5.31487	0.17143	0.16902	0.17101	0.16916	0.17147
3	16	0.0131428496	2.0123	0.15991	0.16164	0.16296	0.16531	0.16785
3	17	0.0039428549	2.7683	0.16623	0.17601	0.16941	0.17185	0.17042
3	18	0.0131428496	1.91643	0.16135	0.16463	0.16933	0.16639	0.16478
3	19	0.001051428	3.58409	0.17214	0.17539	0.16558	0.17184	0.17783
3	20	0.0131428496	1.90822	0.16152	0.16728	0.16521	0.17338	0.16188
3	21	0.0026285699	5.99925	0.17173	0.17013	0.17469	0.16957	0.17535
3	22	0.001314285	7.7021	0.1777	0.17862	0.18104	0.16978	0.17692
3	23	0.0131428496	0.28257	0.11905	0.12083	0.121	0.12534	0.1214
3	24	0.0078857098	3.03698	0.17421	0.18292	0.16663	0.16837	0.16586
3	25	0.0131428496	0.40021	0.13052	0.12983	0.13078	0.12807	0.13031
3	26	0.0131428496	0.8204	0.15204	0.1584	0.15019	0.14949	0.15001
3	27	0.0131428496	0.76437	0.15045	0.14378	0.1554	0.1474	0.15013
3	28	0.0084114238	2.71653	0.17932	0.16188	0.17458	0.16382	0.1688
